"year","genre","score"
1986,"SOUL",40
1987,"SOUL",36
1988,"SOUL",20
1989,"SOUL",27
1990,"SOUL",26
1991,"SOUL",36
1992,"SOUL",40
1993,"SOUL",37
1994,"SOUL",38
1995,"SOUL",40
1996,"SOUL",40
1997,"SOUL",38
1998,"SOUL",25
1999,"SOUL",30
2000,"SOUL",25
2001,"SOUL",30
2002,"SOUL",28
2003,"SOUL",26
2004,"SOUL",23
2005,"SOUL",21
2006,"SOUL",25
2007,"SOUL",18
2008,"SOUL",19
2009,"SOUL",20
